Id,User,Source,Date,Amount,Category,Description
1,1234,Cash,2024-05-15,-85.50,Groceries,Weekly groceries
2,1234,OCBC,2024-06-20,-120.00,Utilities,Electricity bill
3,1234,PayNow,2024-08-10,-65.30,Transportation,Train monthly pass
4,1234,Shopee,2024-10-25,-95.80,Shopping,Online shopping
5,1234,Cash,2024-12-18,-120.00,Dining,Team lunch meeting
6,1234,OCBC,2025-01-21,-89.90,Utilities,Electricity bill
7,1234,PayNow,2025-01-07,500.00,Transfer,Friend repayment
8,1234,Shopee,2025-01-15,-75.30,Shopping,Office supplies
9,1234,Cash,2025-01-25,-45.50,Groceries,Weekly groceries
10,1234,OCBC,2025-02-10,-65.00,Transportation,Train monthly pass
11,1234,PayNow,2025-02-15,-95.80,Shopping,New clothes
12,1234,Shopee,2025-02-20,-35.25,Entertainment,Movie tickets
13,1234,Cash,2025-02-28,-55.00,Dining,Restaurant dinner
14,1234,OCBC,2025-03-10,-42.75,Utilities,Phone bill
15,1234,PayNow,2025-03-15,-75.50,Healthcare,Doctor visit
16,1234,Shopee,2025-03-20,-128.80,Shopping,Electronics
17,1234,Cash,2025-03-22,-38.90,Groceries,Fruits and vegetables
18,1234,OCBC,2025-03-25,-65.00,Transportation,Gas refill
19,1234,PayNow,2025-03-28,-45.50,Entertainment,Concert tickets
20,1234,Shopee,2025-03-30,-95.75,Shopping,Gift shopping
21,1234,Cash,2025-04-01,-62.30,Dining,Family dinner
22,1234,OCBC,2025-04-05,-85.40,Utilities,Electricity and water
23,1234,PayNow,2025-04-08,-110.50,Shopping,Household items
24,1234,Shopee,2025-04-10,-48.75,Groceries,Weekly groceries
25,1234,Cash,2025-04-12,-75.00,Entertainment,Weekend activities
26,1234,OCBC,2025-04-15,-56.25,Transportation,Taxi rides
27,1234,PayNow,2025-04-18,-42.80,Dining,Lunch meetings
28,1234,Shopee,2025-04-20,-95.60,Healthcare,Gym membership
29,1234,Cash,2024-11-23,-65.40,Groceries,Pantry restocking
30,1234,OCBC,2024-11-25,-48.25,Utilities,Internet bill
31,1234,PayNow,2024-12-27,-125.00,Shopping,Winter clothes
32,1234,Shopee,2024-12-29,-80.50,Entertainment,Home streaming services
